Date,noEmployees
2018-01-01,8110.0
2018-02-01,7876.0
2018-03-01,8264.0
2018-04-01,8379.0
2018-05-01,9114.0
2018-06-01,8670.0
2018-07-01,9123.0
2018-08-01,8949.0
2018-09-01,9451.0
2018-10-01,9572.0
2018-11-01,9653.0
2018-12-01,9591.0
2019-01-01,10151.0
2019-02-01,11305.0
2019-03-01,11728.0
2019-04-01,10773.0
2019-05-01,11012.0
2019-06-01,11506.0
2019-07-01,11539.0
2019-08-01,10527.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,8353.0
2020-02-01,8690.0
2020-03-01,8676.0
2020-04-01,8907.0
2020-05-01,9087.0
2020-06-01,8991.0
